combo,case_id,fss_tier,topic,rules,overpromoted,fact
fictitious_entry_high,2014-가(선급금),HIGH,횡령은폐→중복자금유출,L1-05+L3-02+L4-03,False,"회사가 2회 연속 자본잠식률 50%이상으로 상장폐지 위기에 처하자 가장납입을 통해 현금및현금성자산을 허위계상 한 후, 이를 은폐하기 위해 대주주는 회사명의로 광업권자에게 무통장입금하는 방식으로 선급금으로 계상함"
fictitious_entry_high,2014-나(금융자문),HIGH,수익통계,L3-02+L3-11+L4-01+L4-03,False,회사가 SPC를 이용하여 실제 PF사업을 영위하면서 발생하지도 않은 PF사업이익을 금융자문수수료로 위장하고 선인식하여 이익잉여금을 과대계상 하였음
fictitious_entry_high,2014-가(유형자산허위),HIGH,계정분류,L3-02+L4-03+L4-04,False,"D사 등 2개사와 터치스크린 패널관련 기계장치를 제작·구매하는 허위계약을 체결하고, 가공의 기계장치를 새로 취득한 것처럼 회계처리하여 유형자산을 허위계상 하였음"
fictitious_entry_high,2016-라(공사수익조작),HIGH,수익통계,L3-02+L3-11+L4-01+L4-03,False,"진행기준에 따라 매출액을 인식하는 회사는 총공사예정원가를 임의로 축소·조작하고, 공사현장간 발생원가 부당대체 분개를 ERP 시스템에 입력하는 방법으로 프로젝트별 진행률을 조작하여 매출 및 매출채권을 과대계상함"
fictitious_entry_high,2016-사(재고과대),HIGH,계정분류,L3-02+L3-04+L4-03+L4-04,False,"허위 결산조정전표를 입력하고 재고자산 수불부, 제조원가명세서 등을 조작하는 방식으로 실제 존재하고 있지 않는 가공의 재공품, 반제품, 파지 등을 재무제표에 계상하여 기말 재고자산 및 당기순이익을 과대계상하였음"
fictitious_entry_high,2013-가(공사수익),HIGH,수익통계,L3-02+L3-11+L4-01+L4-03,False,"손실이 발생하는 공사의 공사원가를 공사가 시작되지 않거나 진행 초기단계의 공사에 임의로 배분하고, 공사에 투입되지 않은 재고자산을 공사에 투입된 것처럼 회계처리하여 공사진행률을 과다하게 산정하였으며, 해외에서 진행되고 있던 공사의 기성고를 잘못 추정하고 총공사예정원가를 과소추정하여 매출"
fictitious_entry_high,2013-다(매출허위),HIGH,수익통계,L3-02+L3-11+L4-01+L4-03,False,"투자유치 목적으로 영업실적을 부풀리기 위해 허위의 세금계산서를 발행하는 방법 등으로 매출을 과대계상하고, 연구매출에 필수적인 관계기관의 인·허가 또는 거래처의 동의가 이루어지지 않아 계약이행이 사실상 불가능하여 수익인식요건을 충족하지 못함에도 매출로 인식함"
fictitious_entry_high,2013-나(지분법허위),HIGH,중복자금유출,L1-05+L2-03+L3-02+L4-03,False,"아무런 공장시설 및 실체가 없는 페이퍼컴퍼니를 이용하여 사채업자를 통해 융통된 자금으로 사모증자 형식으로 가장납입하고 그 증자대금으로 페이퍼컴퍼니의 지분 100%를 취득한 것처럼 가장하였으나 자금추적 결과 사채업자 차입금을 상환하였고 페이퍼컴퍼니는 매출, 본사 및 공장이 존재하지 않는 "
fictitious_entry_high,2013-나(선급금횡령),HIGH,중복자금유출,L1-05+L2-02+L2-03+L3-02+L4-03,False,"전 등기이사 겸 실질사주 등의 횡령사실을 은폐하기 위해 거래업체와 허위의 계약서, 세금계산서 등을 작성하여 매출채권, 선급금 및 대여금 등으로 인식하고, 사채업자에게 자금을 빌려 일시적으로 은행에 입금하는 등 자산을 허위계상"
fictitious_entry_high,2017-라(재고과대),MEDIUM,계정분류,L3-02+L3-03+L4-03,True,"회사는 재고자산이 장부수량과 실제수량이 일치하지 않자, 최대주주 및 그 종속회사에 이동하여 보관하고 있는 것으로 허위증빙을 작성하는 방식으로 실제 존재하고 있지 않는 가공의 원재료를 재무제표에 계상하여 기말 재고자산 및 당기순이익을 과대계상하였음"
fictitious_entry_high,2017-나(종속허위전표),HIGH,계정분류,L3-02+L4-03+L4-04,False,회사는 종속회사가 허위의 전표 등을 이용하여 재고자산 등 자산을 과대계상하고 매입채무 등 부채를 과소계상하는 등 회계처리기준을 위반하여 재무제표를 작성하였음에도 이를 검토하지 아니하고 그대로 인용하여 연결재무제표를 작성
fictitious_entry_high,2018-다(매도가능증권허위),HIGH,중복자금유출,L2-03+L3-02+L3-04+L4-03,False,동 매도가능증권에 대한 손상 인식을 막기 위해 회사 자금을 허위로 지급하고 자금이 정상 회수된 것으로 가장함
fictitious_entry_high,2018-바(선급금횡령),HIGH,중복자금유출,L1-05+L2-02+L3-02+L4-03,False,"전대표이사는 허위 거래나 가격을 부풀린 거래 등을 통해 회사 자금을 횡령하였고, 이 과정에서 회사 재무제표에 선급금 및 유형자산 등이 과대계상된 사실이 있음"
fictitious_entry_high,A-1유형-다,HIGH,수익통계 / 중복자금유출,L1-05+L2-03+L3-02+L4-01+L4-03,False,"K사는 대표이사가 허위의 매입세금계산서를 교부받아 매출원가를 허위 계상하고, 허위의 매출세금계산서를 교부하여 매출 및 외상매출금을 허위 계상하며, 실제 대여 사실이 없음에도 단기대여금을 허위 계상하는 등 자금을 임의로 사용하였음"
fictitious_entry_high,A-1유형-라,HIGH,수익통계,L3-02+L3-11+L4-01+L4-03,False,"D사는 특정 건설현장의 예정원가를 임의로 낮추거나 전체 발생원가를 개별 공사현장에 임의로 많이 배분하는 방법으로 공사진척도를 높여 공사수익을 앞당겨 회계처리하고, 도급금액이 감액되었거나 해약된 현장임에도 정상적인 공사가 진행된 것처럼 허위의 공사수익을 계상하였음"
fictitious_entry_high,A-1유형-마,HIGH,수익통계,L2-03+L3-02+L4-01+L4-03,False,K사는 G사 등 104개 거래처와 허위의 세금계산서를 수수하는 방법으로 매출액 및 매출채권을 43억원 과대계상함
fictitious_entry_high,A-1유형-바,HIGH,수익통계,L3-02+L3-11+L4-01+L4-03+L4-04,False,D사는 부실 현장 공사원가를 신규·저진행 현장 공사원가로 임의 대체하거나 공사원가를 건설중인 자산의 원가로 대체하거나 공사진행률을 허위로 높여 수익을 조기에 과다하게 인식하는 방법으로 공사수익을 과대계상하고 공사미수금을 과대계상 또는 공사선수금을 과소계상함
fictitious_entry_high,A-1유형-사,HIGH,수익통계,L3-02+L3-11+L4-01+L4-03,False,"T사는 해외거래처에 대해 허위로 수출을 계상하여 가공의 매출채권이 발생하였고, 선하증권(B/L)을 운송알선업자로부터 미리 발급받는 방법으로 차기 수출을 당기 수출로 처리하여 매출액을 과대계상하고 단기차입금을 누락하였음"
fictitious_entry_high,B-2유형-가,HIGH,수익통계,L3-02+L4-01+L4-04,False,B사는 매출액 30억원 달성이 어려워지자 A사가 완제품을 C사에 직접 배송한 거래를 회사가 제품매출로 계상함으로써 매출액 및 매출원가를 허위계상함
fictitious_entry_high,B-2유형-다,HIGH,수익통계,L1-06+L3-02+L4-01+L4-04,False,P사의 회계부장은 목표매출액 달성을 위해 S사의 회계부장과 협의하여 S사로 하여금 매출세금계산서를 발급하게 하여 매입으로 계상함으로써 X2년 매출 및 매출원가를 각각 71억원 과대계상하였음
fictitious_entry_high,B-2유형-라,HIGH,수익통계,L3-02+L3-11+L4-03+L4-04,False,"D사는 특수관계자인 A건설과 허위의 세금계산서를 수수하여 X1년 결산시 상품매출과 상품매출원가를 각각 43,022백만원 과대계상함"
fictitious_entry_high,B-2유형-바,HIGH,수익통계,L3-02+L4-01+L4-04,False,소프트웨어 개발업체인 S사는 다른 3개 회사와 공모하여 가공의 세금계산서 등을 발행하는 방법으로 매출액(26억원) 및 매출원가(20억원)를 허위로 계상하고 자기자본을 과대계상함
fictitious_entry_high,B-2유형-사,HIGH,수익통계,L3-02+L3-03+L4-01+L4-04,False,Y사는 관계회사인 D사와 동사의 거래처와의 매출·매입 거래와 관련하여 서류상으로 Y사가 중간에 개입하여 매출과 매입을 발생시킨 것처럼 꾸미는 방법으로 매출액 및 매출원가를 각각 32억원 허위계상하였음
fictitious_entry_high,B-2유형-자,HIGH,수익통계,L3-02+L3-04+L4-01+L4-04,False,T사는 코스닥상장규정에 따라 상장폐지가 예상되자 최대주주 등과 조직적으로 공모하여 가공의 세금계산서 등을 발행 및 수취하는 방법으로 매출 및 매출원가를 과대계상함
fictitious_entry_high,FSS2008-08-1,HIGH,수익통계,L1-05+L3-02+L3-04+L4-03,False,"A사의 회계팀은 경영진이 원하는 수준의 매출·영업이익으로 맞추도록 지시받아 수주액, 공사예정원가, 발생원가의 프로젝트 번호 등을 조작하여 진행률을 과대 산정하고 매출 및 매출채권을 과대계상하였다"
fictitious_entry_high,FSS1912-23-1,HIGH,수익통계,L2-02+L3-02+L4-01+L4-04,False,"S사는 제조되지 않거나 출고되지 않은 상품을 매출로 계상하는 등의 방법으로 매출 및 매출원가를 허위계상하고, 거래처에 자금을 대여한 후 이를 통해 매출 대금이 회수된 것으로 가장하여 대손상각비 계상을 회피하였다"
fictitious_entry_high,FSS2008-01-1,HIGH,수익통계,L3-02+L4-01+L4-04,False,"A사는 원활한 투자유치를 위해 기간통신사업자 허가획득 실패 등으로 계약이행이 불가능한 상황에서도 거래처에 발행한 세금계산서를 근거로 연구개발 매출 12억원을 계상하고, 제품 납품 없이 세금계산서만 발행하여 매출 1억원을 계상하였다"
fictitious_entry_high,매출및매출원가허위-1,HIGH,수익통계,L2-02+L3-02+L3-03+L4-01+L4-04,False,A사는 '14년~'16년 기간 중 해외 차명회사(페이퍼컴퍼니) C사에 판매한 것처럼 허위 매출을 계상하고 해외 종속회사 B사를 통해 자금을 우회 송금하여 매출채권이 정상 회수된 것처럼 처리하고 대손충당금을 환입하였다
fictitious_entry_high,유형자산허위-1,HIGH,중복자금유출,L1-05+L2-02+L3-02+L4-03,False,회사의 대표이사이자 최대주주 B는 차명 주주 및 대표이사를 내세운 C사에 공사비를 과도하게 지급하고 가공공사가 실제 실행된 것처럼 허위증빙들을 작성하여 유형자산 및 감가상각비를 과대계상하였다
fictitious_entry_high,FSS1912-1-1,HIGH,수익통계,L3-02+L3-03+L3-11+L4-01+L4-04,False,"A사는 '14년 재무제표에서 관리종목 지정 기준(5,000백만원) 회피를 위해 제조·가공 및 이동사실이 없는 중고제품을 인도한 것처럼 허위의 재고자산수불부 및 지출결의서를 작성하여 관계회사 B사에 대한 매출 및 매출원가를 과대계상하였다"
fictitious_entry_high,FSS2112-01-1,HIGH,수익통계,L3-02+L4-01+L4-04,False,"A사는 방송통신장비 제조업체로 와이브로 기술 라이선스 계약이행이 불가능한 상황에서 거래처 세금계산서를 근거로 연구개발 매출 12억원을 계상하고, 제품 인도 없이 납품테스트 불통과 제품도 매출 1억원으로 인식하였다"
fictitious_entry_high,FSS2008-13-1,HIGH(NEW조합),중복자금유출,L3-02+L3-03+L3-10+L4-03,False,"회사는 타사의 재고자산을 자사의 재고자산으로 허위계상하기 위하여 운송계약서, 물품입고·보관확인서 및 계근목록표 등을 허위로 작성하고 특수관계자인 B사 및 C사와 공모하여 감사인에게 허위의 조회서를 제출하였다. 회사는 재고자산 잔액을 조작하는 방법으로 완전자본잠식에 따른 상장폐지를 모면하"
fictitious_entry_high,FSS2112-02-1,HIGH,수익통계,L3-02+L3-03+L4-01+L4-03,False,"회사는 최대주주가 변경된 후 최대주주의 친인척이 운영 중인 B사 및 B사의 주요 거래처인 C사 등과 공모하여 원재료 및 제품의 실제 인수·도 및 제조과정 없이 매출·매입세금계산서, 거래명세서 등 관련 서류를 조작하여 매출 238억원, 매출원가 244억원, 매출채권 149억원, 매입채무 "
fictitious_entry_high,FSS2112-16-1,HIGH(NEW조합),중복자금유출,L3-02+L3-03+L3-10+L4-03,False,"회사는 '13년 회사가 최대주주인 B사 및 종속회사 C사가 보유한 재고자산 24,999백만원 상당을 타처보관재고자산으로 가장하여 재무제표에 허위계상하였다. 회사는 타사의 재고자산을 자사의 재고자산으로 허위계상하기 위하여 운송계약서, 물품입고·보관확인서 및 계근목록표 등을 허위로 작성하고"
fictitious_entry_high,매출허위-1,HIGH,수익통계,L2-03+L3-02+L3-03+L3-11+L4-01,False,"회사는 종속회사와 과거에 체결한 용역계약의 계약금액을 임의로 100% 증액하여 매출 및 매출채권을 추가로 인식하고, 영업손실을 영업이익으로 전환하였으며, 대여금 명목으로 종속회사에 자금을 이체하고, 당일 돌려받는 방법으로 인식한 매출채권을 회수하였다."
fictitious_entry_high,선급금허위-1,HIGH,중복자금유출 / 승인통제,L1-05+L2-02+L3-02+L4-03,False,현 경영진이 前 대표이사의 인출 자금에 대해 정당한 지출증빙 등이 없어 상환요구하고 상환확약서까지 징구한 사실은 회사가 前 대표이사의 횡령·배임 혐의를 인지하였다는 것을 의미함에도 회사는 前 대표이사가 인출한 자금을 선급금을 과대계상하였다.
fictitious_entry_high,FSS2112-27-1,HIGH(NEW조합),수익통계 / 중복자금유출,L1-05+L3-02+L4-03,False,"회사는 '11년 12월 관리종목 지정을 회피하기 위해 대표이사가 제공한 문방구어음 25억원을 미수금 및 자산수증이익으로 계상하였다. '12년 2월 회사의 실질사주 B는 회사 계좌에 25억원을 입금하여 미수금이 회수된 것처럼 회계처리하였고, '12년 3월 회계감사가 종료된 이후에 회사 통"
fictitious_entry_high,감리2013-1-나,HIGH,수익통계 / 중복자금유출,L2-03+L2-05+L3-02+L4-01+L4-03,False,"B사는 매 사업연도말에 차입금 연장 등 자금조달을 위해 영업이익이 이자비용을 누락하거나 가공의 매출 및 매출채권을 계상하는 등의 방법으로 매년 이익을 조작하였고, 기업어음(CP) 발행으로 인한 단기차입금 등의 부채와 가공의 매출채권이나 관계회사에 대한 대여금 등의 자산을 매년 상계처리하"
fictitious_entry_high,A-6유형-나,HIGH,수익통계 / 중복자금유출,L2-03+L2-05+L3-02+L4-01+L4-03,False,"B사는 매 사업연도말에 차입금 연장 등 자금조달을 위해 가공의 매출 및 매출채권을 계상하는 등의 방법으로 매년 이익을 조작하였고, 기업어음(CP) 발행으로 인한 단기차입금 등의 부채와 가공의 매출채권이나 관계회사에 대한 대여금 등의 자산을 매년 상계처리하여 부채비율이 양호한 것처럼 처리"
fictitious_entry_high,FSS2008-11-1,HIGH,수익통계,L1-05+L3-02+L3-11+L4-01,False,A사는 공사수익이 발생하지 않는 현장에서 공사수익이 발생하는 현장으로 공사원가를 대체하여 공사진행률을 조작하는 방법으로 공사수익을 과대계상하였다. 대표이사 甲은 결산담당자로부터 공사부문 가결산 보고를 받는 과정에서 공사수익을 집중적으로 확인한 후 특정 공사현장의 원가를 타 현장으로 대체
fictitious_entry_high,FSS2008-09-1,HIGH(NEW조합),수익통계 / 결산시점,L1-05+L3-02+L3-04+L4-01,False,A사 대표이사 甲은 회사의 이익이 급증함에 따라 국내 완성차업체로부터 단가인하 압력이 거세질 것을 우려하여 해외 피투자회사의 손익을 과소계상하여 회사의 지분법적용투자주식을 과소계상하는 방법으로 회사의 이익을 감소시킬 것을 지시하였다. 회사는 '09년 결산과정에서 해외 피투자회사의 매출을
fictitious_entry_high,A-7유형-나,HIGH,수익통계 / 중복자금유출,L2-03+L2-05+L3-02+L4-01+L4-03,False,"B사는 매 사업연도말에 차입금 연장 등 자금조달을 위해 영업이익이 이자비용을 누락하거나 가공의 매출 및 매출채권을 계상하는 등의 방법으로 매년 이익을 조작하였고, 기업어음(CP) 발행으로 인한 단기차입금 등의 부채와 가공의 매출채권이나 관계회사에 대한 대여금 등의 자산을 매년 상계처리하"
fictitious_entry_high,FSS2008-20-1,HIGH,중복자금유출 / 승인통제,L1-05+L2-02+L3-02+L4-03,False,"실질사주였던 A씨는 완전자본잠식에 의한 상장폐지가 우려되자 60억원은 A씨가 사채업자로부터 조달한 금액으로, 주금을 납입한 즉시 인출하여 사채업자에게 변제하였다. 또한 회사는 D사와 허위 부동산 매매계약을 체결하였으며, 유형자산 및 미수금을 허위계상하였다."
fictitious_entry_high,FSS2008-14-1,HIGH(NEW조합),수익통계 / 결산시점,L1-05+L3-02+L3-04+L4-01,False,"회사는 '09년 결산과정에서 해외 피투자회사의 매출을 과소계상하고 대손충당금을 과대계상하여 회사의 지분법적용투자주식을 과소계상하였으며, '10년 결산과정에서 전년도의 회계처리 위반사항을 수정하지 않은 상태에서 해외 피투자회사의 감가상각누계액을 과대계상하여 회사의 지분법적용투자주식을 과소"
fictitious_entry_high,FSS2206-01,HIGH,수익통계,L3-02+L4-01+L4-04,False,"""회사는 '15년～'19년 기간 중 거래처들 간의 거래 단계에 끼어들기 방식으로 가공의 매출 및 매출원가를 계상하였다. 내부의 결재문서를 통해 대표이사의 지시 아래 이루어진 정황이 확인되었다."""
fictitious_entry_high,FSS2206-04,HIGH,결산시점 / 수익통계,L1-05+L3-02+L3-04+L4-03,False,"""재무담당임원의 지시에 따라 의도적으로 선수금을 조기에 매출로 인식하였고, '17.12.31.에는 전산상으로 건당 수백만원에서 수천만원의 허위 수강료 수입 및 교재 수입 매출전표를 생성하여 매출로 계상하는 회계처리 하였다."""
fictitious_entry_high,FSS2311_02-01,HIGH,"수익통계, 결산시점",L3-02+L3-04+L3-11+L4-01,False,"""회사는 협력업체와 담합하여 연말에 집중적으로 회계담당부서에 발주서를 제출하고 세금계산서를 발행하는 등 '밀어내기 매출'을 실행하여 매출을 과대 계상하였다."""
fictitious_entry_high,FSS2405-02-01,HIGH,수익통계,L2-03+L3-02+L4-01+L4-03,False,"회사는 이면약정에 따라 실물재고의 이동이 없이 허위의 세금계산서를 발행하여 서류상으로만 매입 및 매출을 처리하는 등 재화의 소유에 따른 유의적인 위험과 보상이 이전되지 않았음에도 매출 등을 허위로 인식하였다. 또한, 회사는 동 허위매출 등을 발생시킨 이면약정을 은폐하여 외부감사인의 정상"
fictitious_entry_high,FSS2405-04-01,HIGH,수익통계,L2-03+L3-02+L4-01+L4-03,False,"회사는 영업실적을 부풀리기 위해 중고폰 유통업을 실제로 영위하지 않았음에도 가공세금계산서 발급 등의 불법 행위를 통해 허위의 매출 및 매출원가를 계상하였다. 감사인에게 제시할 금융거래내역을 만들어내기 위해 실질사주로부터 일정 자금을 빌려 매출처에서 회사, 회사에서 매입처 등으로 순차적으"
fictitious_entry_high,FSS2405-09,HIGH(NEW조합),수익통계,L3-02+L4-03+L4-04,False,"""회사는 허위계약을 통해 전환사채 및 콜옵션을 취득한 것으로 가장하여 자산성이 없는 파생상품자산을 계상함으로써 당기순이익 및 자기자본을 과대 계상하였다."""
fictitious_entry_high,FSS2405-10,HIGH,중복자금유출,L2-02+L2-03+L3-02+L3-03+L3-09+L4-03,False,"""회사는 경영진의 횡령을 은폐하기 위해 거래처와 실물재고의 이동이 없는 허위계약을 체결하거나 허위의 건설계약을 체결하여 가공의 자산 및 비용을 인식하였다. 또한, 경영진이 차명으로 설립한 B사와 허위의 물량보증계약을 체결하고 이를 이행한 것처럼 허위로 외주가공비 등을 지급함으로써 자산과"
fictitious_entry_high,FSS2409-01,HIGH,수익통계,L2-03+L3-02+L3-03+L3-11+L4-01+L4-03,False,"""회사는 홍콩에 소재한 기존 주력 거래처(B사)와 공모하여 B사로부터 소개받은 업체(C사)에 P제품을 수출하고, B사로부터 다른 용도의 새로운 원재료(P-1, P-2)를 매입한 것처럼 외관을 형성하고, 수출입대금이 원활하게 융통되는 것으로 위장하기 위해 B사에 원재료 수입대금을 先지급하"
fictitious_entry_high,FSS2409-02-가,HIGH,수익통계 / 결산시점,L1-05+L3-02+L3-04+L3-11+L4-01,False,"""종속회사의 영업부서는 회사로부터 '밀어내기 매출'을 지시받은 이후 협력업체와 담합하여 최종 소비자가 없음에도 연말에 집중적으로 허위의 발주서를 제출받아 세금계산서를 발행하는 등 '밀어내기 매출'을 실행하여 매출을 과대 계상(x1~x3년)하였다."""
